Udalerria Kodea / Código Municipio,Udalerria / Municipio,Biztanleak/Población
01051,Agurain / Salvatierra,5353
01001,Alegría-Dulantzi,3140
01002,Amurrio,10330
01423,Añana,151
01003,Aramaio,1480
01006,Armiñón,223
01037,Arraia-Maeztu,732
01008,Arratzua-Ubarrundia,1035
01004,Artziniega,1911
01009,Asparrena,1616
01010,Ayala / Aiara,2895
01011,Baños De Ebro / Mañueta,321
01013,Barrundia,941
01014,Berantevilla,499
01016,Bernedo,530
01017,Campezo / Kanpezu,1061
01021,Elburgo / Burgelu,637
01022,Elciego,1035
01023,Elvillar / Bilar,352
01046,Erriberagoitia / Ribera Alta,830
01117,Harana / Valle de Arana,229
01901,Iruña de Oka / Iruña de Oca,3590
01027,Iruraiz-Gauna,546
01308,Kripan,181
01430,Kuartango,381
01028,Labastida / Bastida,1561
01118,Lagrán,158
01031,Laguardia,1534
01032,Lanciego / Lantziego,753
01902,Lantarón,945
01033,Lapuebla de Labarca,879
01036,Laudio / Llodio,18351
01058,Legutio,1832
01309,Leza,196
01039,Moreda de Álava / Moreda Araba,269
01039,Navaridas,209
01042,Okondo,1217
01043,Oyón-Oion,3521
01212,Peñacerrada / Urizaharra,257
01047,Ribera Baja / Erribera Beitia,1601
01052,Samaniego,241
01053,San Millán / Donemiliaga,726
01054,Urkabustaiz,1450
01055,Valdegovía / Gaubea,1064
01307,Villabuena de Álava / Eskuernaga,299
01059,Vitoria-Gasteiz,248087
01060,Yécora / Iekora,267
01061,Zalduondo,197
01062,Zambrana,446
01018,Zigoitia,1707
01063,Zuia,2362
48001,Abadiño,7754
48002,Abanto y Ciérvana-Abanto Zierbena,9501
48911,Ajangiz,440
48912,Alonsotegi,2822
48003,Amorebieta-Etxano,19290
48289,Amoroto,419
48498,Arakaldo,156
48006,Arantzazu,388
48093,Areatza,1230
48498,Arrankudiaga,970
48382,Arratzu,418
48010,Arrieta,563
48011,Arrigorriaga,11943
48023,Artea,721
48008,Artzentales,671
48091,Atxondo,1385
48070,Aulesti,668
48012,Bakio,2627
48090,Balmaseda,7638
48013,Barakaldo,99000
48014,Barrika,1531
48015,Basauri,40969
48092,Bedia,1049
48016,Berango,7265
48017,Bermeo,16910
48018,Berriatua,1257
48019,Berriz,4662
48020,Bilbao,346478
48021,Busturia,1622
48901,Derio,6569
48026,Dima,1438
48027,Durango,29762
48287,Ea,831
48031,Elantxobe,357
48032,Elorrio,7448
48902,Erandio,24433
48033,Ereño,276
48034,Ermua,16019
48079,Errigoiti,490
48029,Etxebarri,11460
48030,Etxebarria,745
48906,Forua,904
48035,Fruiz,559
48036,Galdakao,29493
48037,Galdames,844
48038,Gamiz-Fika,1361
48200,Garai,320
48040,Gatika,1649
48041,Gautegiz Arteaga,847
48046,Gernika-Lumo,16808
48044,Getxo,76953
48047,Gizaburuaga,200
48042,Gordexola,1723
48043,Gorliz,5935
48045,Güeñes,6563
48048,Ibarrangelu,621
48094,Igorre,4214
48049,Ispaster,744
48910,Iurreta,3688
48050,Izurtza,287
48022,Karrantza Harana / Valle de Carranza,2834
48907,Kortezubi,442
48051,Lanestosa,275
48052,Larrabetzu,2052
48053,Laukiz,1197
48054,Leioa,31424
48057,Lekeitio,7227
